name,hasCustomObject,keyPrefix,label,labelPlural,createable,updateable,deletable,activateable,associateEntityType,associateParentEntity,compactLayoutable,custom,customSetting,deepCloneable,defaultImplementation,deprecatedAndHidden,feedEnabled,hasSubtypes,idEnabled,implementedBy,implementsInterfaces,isInterface,isSubtype,layoutable,mergeable,mruEnabled,networkScopeFieldName,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,DescribeFields,RecordTypeInfos,searchLayoutable,dataTranslationEnabled
Activity,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ActivityMetric,,0Gq,Activity Metric,Activity Metrics,true,true,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,true,false,,,,
ActivityTiming,true,1CD,Activity Timing,Activity Timings,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,false,,,true,
ActivityTimingOwnerSharingRule,,,Activity Timing Owner Rule,Activity Timing Owner Rule,true,true,true,false,OwnerSharingRule,ActivityTiming,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
ActivityUsrConnectionStatus,,1fm,Activity User Connection Status,Activity User Connection Status,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,,false,,,,
ActvTgtPlatformFieldValue,true,3q9,Activation Target Platform Field Value,Activation Target Platform Field Values,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,true,true,true,,,,
ActvTgtPlatformFieldValueOwnerSharingRule,,,Activation Target Platform Field Value Owner Rule,Activation Target Platform Field Value Owner Rule,true,true,true,false,OwnerSharingRule,ActvTgtPlatformFieldValue,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AdditionalNumber,,04m,Additional Directory Number,Additional Directory Numbers,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,true,,,,
Address,true,130,Address,Addresses,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,true,,,true,
AdvAccountForecastFact,true,0p2,Advanced Account Forecast Fact,Advanced Account Forecast Facts,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,true,false,,,,
AdvAccountForecastFactOwnerSharingRule,,,Advanced Account Forecast Fact Owner Rule,Advanced Account Forecast Fact Owner Rule,true,true,true,false,OwnerSharingRule,AdvAccountForecastFact,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AdvAccountForecastFormula,,0nk,Advanced Account Forecast Formula,Advanced Account Forecast Formulae,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AdvAccountForecastPeriod,,0nm,Advanced Account Forecast Period,Advanced Account Forecast Periods,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AdvAccountForecastSet,,0ni,Advanced Account Forecast Set,Advanced Account Forecast Sets,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AdvAcctForecastAdjPeriod,,0nj,Advanced Account Forecast Adjustment Period,Advanced Account Forecast Adjustment Period,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AdvAcctForecastDimension,,0oX,Advanced Account Forecast Dimension,Advanced Account Forecast Dimension,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AdvAcctForecastDimSource,,0oZ,Advanced Account Forecast Dimension Source,Advanced Account Forecast Dimension Source,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
AdvAcctForecastFactAdj,true,0oz,Advanced Account Forecast Fact Adjustment,Advanced Account Forecast Fact Adjustments,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,true,false,,,,
